Date;Sugar;Cocoa
01/11/2023;27.30954545;4095.356207
01/12/2023;22.14571429;4253.904329
01/01/2024;22.47478261;4442.919775
01/02/2024;23.34190476;5640.087619
01/03/2024;21.76904762;7297.553884
01/04/2024;20.64727273;9865.206034
01/05/2024;18.79956522;7768.09838
01/06/2024;19.1695;8380.12661
01/07/2024;19.35173913;7164.628035
01/08/2024;18.41954545;6791.953817
01/09/2024;20.6247619;6421.825659
01/10/2024;22.35521739;6582.858019
01/11/2024;21.6552381;7919.32827
01/12/2024;20.31181818;10412.18571
01/01/2025;18.93;10710.34548
01/02/2025;20.1855;9792.664209
01/03/2025;19.05619048;8079.556128
01/04/2025;18.17181818;8132.218492
01/05/2025;17.43136364;9000.787339
01/06/2025;16.22619048;8401.952731
01/07/2025;16.36478261;7371.890766
01/08/2025;16.38952381;7604.123627
01/09/2025;15.79;7006.525856
01/10/2025;15.55869565;5953.567814
01/11/2025;14.623;5590.708103
01/12/2025;14.935;5814.856919
01/01/2026;14.78590909;5018.131521
01/02/2026;14.2015;3587.185951
01/03/2026;14.79636364;3241.488951
